mode,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
online,86,20.17913556098938,False,,,87,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-34-41,1600720481,1775.5694360733032,6940,antarctica,142.1.44.25,1775.5694360733032,0,87,bca27_00000,0_seed=0
online,87,20.06263256072998,False,,,88,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-35-01,1600720501,1795.6320686340332,6940,antarctica,142.1.44.25,1795.6320686340332,0,88,bca27_00000,0_seed=0
online,88,20.031975507736206,False,,,89,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-35-21,1600720521,1815.6640441417694,6940,antarctica,142.1.44.25,1815.6640441417694,0,89,bca27_00000,0_seed=0
online,89,20.12703537940979,False,,,90,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-35-42,1600720542,1835.7910795211792,6940,antarctica,142.1.44.25,1835.7910795211792,0,90,bca27_00000,0_seed=0
online,90,20.067565441131592,False,,,91,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-36-02,1600720562,1855.8586449623108,6940,antarctica,142.1.44.25,1855.8586449623108,0,91,bca27_00000,0_seed=0
online,91,20.179686784744263,False,,,92,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-36-22,1600720582,1876.038331747055,6940,antarctica,142.1.44.25,1876.038331747055,0,92,bca27_00000,0_seed=0
online,92,20.116867780685425,False,,,93,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-36-42,1600720602,1896.1551995277405,6940,antarctica,142.1.44.25,1896.1551995277405,0,93,bca27_00000,0_seed=0
online,93,20.075978994369507,False,,,94,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-37-02,1600720622,1916.23117852211,6940,antarctica,142.1.44.25,1916.23117852211,0,94,bca27_00000,0_seed=0
online,94,20.219963550567627,False,,,95,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-37-22,1600720642,1936.4511420726776,6940,antarctica,142.1.44.25,1936.4511420726776,0,95,bca27_00000,0_seed=0
online,95,20.19166612625122,False,,,96,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-37-42,1600720662,1956.6428081989288,6940,antarctica,142.1.44.25,1956.6428081989288,0,96,bca27_00000,0_seed=0
online,96,20.22266936302185,False,,,97,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-38-03,1600720683,1976.8654775619507,6940,antarctica,142.1.44.25,1976.8654775619507,0,97,bca27_00000,0_seed=0
online,97,20.141427755355835,False,,,98,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-38-23,1600720703,1997.0069053173065,6940,antarctica,142.1.44.25,1997.0069053173065,0,98,bca27_00000,0_seed=0
online,98,20.13776731491089,False,,,99,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-38-43,1600720723,2017.1446726322174,6940,antarctica,142.1.44.25,2017.1446726322174,0,99,bca27_00000,0_seed=0
online,99,20.23930549621582,False,,,100,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-39-03,1600720743,2037.3839781284332,6940,antarctica,142.1.44.25,2037.3839781284332,0,100,bca27_00000,0_seed=0
